,county,all pop,tindoor_07-02-2023,tindoor_08-02-2023,tindoor_09-02-2023,tindoor_10-02-2023,tindoor_11-02-2023,tindoor_12-02-2023,tindoor_13-02-2023,vulnerability_07-02-2023,vulnerability_08-02-2023,vulnerability_09-02-2023,vulnerability_10-02-2023,vulnerability_11-02-2023,vulnerability_12-02-2023,vulnerability_13-02-2023,toutdoor_07-02-2023,toutdoor_08-02-2023,toutdoor_09-02-2023,toutdoor_10-02-2023,toutdoor_11-02-2023,toutdoor_12-02-2023,toutdoor_13-02-2023,icaro_07-02-2023,icaro_08-02-2023,icaro_09-02-2023,icaro_10-02-2023,icaro_11-02-2023,icaro_12-02-2023,icaro_13-02-2023
41,agueda,79478,17.9,17.9,18.2,17.2,16.0,15.2,15.4,0.1097,0.1097,0.1097,0.1097,0.1097,0.1097,0.1097,6.8,10.8,6.6,6.8,7.1,9.5,5.6,0.1097,0.1097,0.1097,0.1097,0.1097,0.1097,0.1097
42,albergaria-a-velha,42057,17.6,18.0,18.4,17.2,16.2,15.6,15.5,0.0844,0.0844,0.0844,0.0844,0.0844,0.0844,0.0844,10.8,8.4,6.4,6.5,8.3,9.0,5.4,0.0844,0.0844,0.0844,0.0844,0.0844,0.0844,0.0844
43,anadia,47666,17.9,18.2,18.8,17.8,16.9,16.2,16.0,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,11.6,9.7,8.2,7.2,9.0,10.0,7.1,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969
44,arouca,37231,17.1,17.2,17.7,16.8,15.0,14.5,14.8,0.1504,0.1504,0.1504,0.1504,0.1504,0.1504,0.1504,10.3,8.0,5.1,4.1,6.4,7.7,4.4,0.1504,0.1504,0.1504,0.1504,0.1504,0.1504,0.1504
45,aveiro,132203,12.2,12.0,12.1,12.0,11.1,10.3,11.0,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,10.5,9.8,7.2,6.7,8.9,9.5,6.2,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851
46,castelo-de-paiva,28173,16.0,16.3,17.2,16.6,15.1,14.4,14.4,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076,9.7,5.7,1.9,2.8,5.2,7.4,1.3,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076
47,espinho,52975,17.7,18.0,18.8,18.2,17.0,16.3,16.3,0.1338,0.1338,0.1338,0.1338,0.1338,0.1338,0.1338,9.1,8.8,6.0,7.1,9.4,8.7,5.7,0.1338,0.1338,0.1338,0.1338,0.1338,0.1338,0.1338
48,estarreja,44649,17.0,17.3,18.1,17.4,16.1,15.7,15.6,0.0847,0.0847,0.0847,0.0847,0.0847,0.0847,0.0847,6.6,6.6,3.7,5.8,9.4,8.5,4.9,0.0847,0.0847,0.0847,0.0847,0.0847,0.0847,0.0847
49,santa-maria-da-feira,235959,17.1,17.5,18.4,17.9,16.3,15.6,15.6,0.1155,0.1155,0.1155,0.1155,0.1155,0.1155,0.1155,9.3,7.9,4.6,3.8,9.3,7.9,2.9,0.1155,0.1155,0.1155,0.1155,0.1155,0.1155,0.1155
50,ilhavo,64837,17.7,18.1,18.5,17.8,16.8,16.2,16.2,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,7.7,8.0,6.3,6.1,8.2,8.9,5.2,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998
51,mealhada,33699,17.8,18.3,18.7,17.7,16.9,16.3,16.1,0.0935,0.0935,0.0935,0.0935,0.0935,0.0935,0.0935,12.0,9.6,7.6,6.8,8.6,9.9,7.6,0.0935,0.0935,0.0935,0.0935,0.0935,0.0935,0.0935
52,murtosa,17143,16.8,17.2,18.0,17.3,16.2,15.6,15.7,0.091,0.091,0.091,0.091,0.091,0.091,0.091,6.0,5.3,4.0,5.0,6.9,6.7,3.5,0.091,0.091,0.091,0.091,0.091,0.091,0.091
53,oliveira-de-azemeis,115501,17.3,17.3,18.0,17.3,15.7,15.0,15.0,0.0899,0.0899,0.0899,0.0899,0.0899,0.0899,0.0899,6.2,6.4,5.4,6.5,7.2,7.4,3.1,0.0899,0.0899,0.0899,0.0899,0.0899,0.0899,0.0899
54,oliveira-do-bairro,37693,17.1,17.2,17.8,17.1,16.2,15.6,15.5,0.0972,0.0972,0.0972,0.0972,0.0972,0.0972,0.0972,6.3,5.3,3.7,4.6,5.8,6.2,3.6,0.0972,0.0972,0.0972,0.0972,0.0972,0.0972,0.0972
55,ovar,93405,18.0,18.3,18.9,18.4,17.1,16.4,16.4,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,11.1,9.7,7.0,8.5,10.0,9.9,7.3,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857
56,sao-joao-da-madeira,36725,18.1,18.5,18.9,18.2,16.6,15.7,15.7,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,13.0,11.4,7.0,6.9,9.2,10.2,7.2,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553
57,sever-do-vouga,20196,16.5,16.8,17.2,16.3,15.3,14.5,15.0,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,10.8,8.4,5.9,5.9,7.6,8.2,5.2,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948
58,vagos,37815,17.3,17.6,18.1,17.6,16.4,16.0,15.8,0.1007,0.1007,0.1007,0.1007,0.1007,0.1007,0.1007,7.7,6.6,5.1,5.5,7.2,7.4,3.9,0.1007,0.1007,0.1007,0.1007,0.1007,0.1007,0.1007
59,vale-de-cambra,38000,16.0,16.1,16.2,15.7,14.7,14.3,14.3,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,6.2,1.7,0.9,2.8,5.2,2.4,3.0,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258
60,aljustrel,15093,17.9,18.2,18.8,18.3,16.8,15.5,15.2,0.1746,0.1746,0.1746,0.1746,0.1746,0.1746,0.1746,3.2,5.2,2.9,5.3,7.8,8.3,4.7,0.1746,0.1746,0.1746,0.1746,0.1746,0.1746,0.1746
61,almodovar,11774,16.0,16.6,18.1,17.8,14.8,12.6,11.8,0.214,0.214,0.214,0.214,0.214,0.214,0.214,3.9,4.6,4.4,6.2,8.2,7.4,2.9,0.214,0.214,0.214,0.214,0.214,0.214,0.214
62,alvito,3977,17.3,17.7,18.4,17.9,16.2,14.0,13.5,0.1734,0.1734,0.1734,0.1734,0.1734,0.1734,0.1734,4.9,3.5,2.4,6.3,8.1,8.1,5.3,0.1734,0.1734,0.1734,0.1734,0.1734,0.1734,0.1734
63,barrancos,2966,10.3,10.3,11.6,11.2,11.0,10.8,10.6,0.1473,0.1473,0.1473,0.1473,0.1473,0.1473,0.1473,4.2,4.3,4.3,8.1,7.5,7.0,3.6,0.1473,0.1473,0.1473,0.1473,0.1473,0.1473,0.1473
